url_hash,url,run_id,category,category_hierarchy,name,brand,sku,price,unit_pack_size,availability,description,specifications,image_urls,alternative_products,extraction_method,scraped_at
7cb998a2d54527a7f7254c16a386e3af71057548e2e28ebf0d4532594a59a0c7,https://www.safcodental.com/product/orasoothe-reg-sockit-gel#5106359,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Surgical medicaments and packing""]",OraSoothe Hygiene Rinse 3.4 oz bottle,Septodont,5106359,$9.99,3.4 oz bottle,In stock,"Hydrogel dressing treats intraoral wounds and lesions. Provides fast, continuous pain relief without numbing. Protects from chemical and microbial contamination and promotes optimal healing.Contains no drugs, and has no toxicity or contraindications. Safe if swallowed. Individual 10g syringes are ideal for both in-office and take-home use. FDA approved.","{""Brand"": ""Septodont"", ""SKU"": ""5106359"", ""FDA Approved"": ""Yes"", ""Toxicity"": ""No toxicity or contraindications"", ""Safe if swallowed"": ""Yes""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfpgh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:57.901345
d3f74f79a79a9f0eb60165a6b14180256c1dc1fffa6496bb9864587d98d84959,https://www.safcodental.com/product/orasoothe-reg-sockit-gel#5690106,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Surgical medicaments and packing""]",OraSoothe Sockit gel 25-pack,Septodont,5690106,$309.49,25-pack,Backorder,"Hydrogel dressing treats intraoral wounds and lesions. Provides fast, continuous pain relief without numbing. Protects from chemical and microbial contamination and promotes optimal healing.Contains no drugs, and has no toxicity or contraindications. Safe if swallowed. Individual 10g syringes are ideal for both in-office and take-home use. FDA approved.","{""Brand"": ""Septodont"", ""SKU"": ""5690106"", ""FDA Approved"": ""Yes"", ""Contains"": ""10g syringes""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfpgh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:56.779295
45735470cec69f6a60c8e8693a21eb92b821b711298aca8f2980cb4c419b091b,https://www.safcodental.com/product/orasoothe-reg-sockit-gel#5690102,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Surgical medicaments and packing""]",OraSoothe&reg;  &quot;Sockit&quot;  gel 5-pack,Septodont,5690102,$93.99,5-pack,In stock,"Hydrogel dressing treats intraoral wounds and lesions. Provides fast, continuous pain relief without numbing. Protects from chemical and microbial contamination and promotes optimal healing. Contains no drugs, and has no toxicity or contraindications. Safe if swallowed. Individual 10g syringes are ideal for both in-office and take-home use. FDA approved.","{""Contains"": ""5 individually packed 10g syringes with applicator tip.""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfpgh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:58.027123
4e6858f5e0288fc1c509ec81c9d1e8604c458a0fe73512df08dd63bde5186129,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257157,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraFuse&trade; demineralized bone matrix putty 0.7cc,DentalProX,3257157,$137.99,0.7cc,Special order,"Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""Product Name"": ""VeraFuse\u2122 demineralized bone matrix putty"", ""SKU"": ""3257157"", ""Brand"": ""DentalProX"", ""Manufacturer Number"": ""VF25070""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:57.651194
315775cf53c54aaa3e171c0d69608f729f5ce1efafd2e9d0f2fd72355ea5b18d,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257158,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraFuse&trade; demineralized bone matrix putty 1.0cc,DentalProX,3257158,$135.99,1.0cc,In stock,"Safe alternative to an autograft with no need for a second surgical site Osteoconductive Used for volumetric enhancement, space maintenance, and faster remodeling Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""Mfr #"": ""VF25100"", ""Stock Availability"": ""In stock"", ""Price"": ""$137.99""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:57.266075
da6aab3fc5ca8aa70aa3e17b0440e09244a7aa51defe3ec8407ccc85e3c391e6,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257159,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraFuse&trade; demineralized bone matrix putty 2.5cc,DentalProX,3257159,$299.50,2.5cc,Special order,"Safe alternative to an autograft with no need for a second surgical site. Osteoconductive. Used for volumetric enhancement, space maintenance, and faster remodeling. Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""Osteoconductive"": ""Yes"", ""Sterility Assurance Level"": ""10(-6)"", ""Available Forms"": ""Cortical, Cancellous, Cortical/Cancellous mix""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]","[""https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder""]",algolia+tavily_llm,2026-04-24T04:33:58.732002
c9d5a0ac2c4fe834d35e603d64c0813c65af387063d607b3b245b3cb86b6b860,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257155,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraGraft&trade; mineralized cortical bone .25-1.0mm 0.25cc jar,DentalProX,3257155,$28.99,.25cc jar,Backorder,"Safe alternative to an autograft with no need for a second surgical site Osteoconductive Used for volumetric enhancement, space maintenance, and faster remodeling Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""SKU"": ""3257155"", ""Brand"": ""DentalProX"", ""Type"": ""mineralized cortical bone"", ""Particle Size"": "".25-1.0mm""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:58.559277
63b91bddac3a3de20c2d9305139ebb419396c54226558c830e174b1b63844e32,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257156,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraGraft&trade; mineralized cortical bone .25-1.0mm 0.5cc jar,DentalProX,3257156,$49.99,0.5cc jar,Backorder,"Safe alternative to an autograft with no need for a second surgical site. Osteoconductive. Used for volumetric enhancement, space maintenance, and faster remodeling. Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""SKU"": ""3257156"", ""Brand"": ""DentalProX"", ""Type"": ""Mineralized Cortical Bone"", ""Particle Size"": "".25-1.0mm""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:58.275782
152deb0ffd64e45ac04959a04a4166d7765d829a91954d598d1533907ff1184e,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257153,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraGraft&trade; mineralized cortical bone .25-1.0mm 2.0cc jar,DentalProX,3257153,$115.49,2.0cc jar,In stock,"Safe alternative to an autograft with no need for a second surgical site Osteoconductive Used for volumetric enhancement, space maintenance, and faster remodeling Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""Type"": ""Mineralized Cortical Bone"", ""Particle Size"": "".25-1.0mm"", ""SKU"": ""3257153"", ""Brand"": ""DentalProX""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:57.996789
f0cecc3641aef681f4d294a993a1413a6a2a2b1b788935d5f127e9a78a718e42,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257154,8310ed19,Sutures & Surgical Products,"[""Dental Supplies"", ""Sutures & surgical products"", ""Bone grafting tissue augmentation""]",VeraGraft&trade; mineralized cortical bone .25-1.0mm 2.5cc jar,DentalProX,3257154,$118.99,2.5cc jar,Special order,"Safe alternative to an autograft with no need for a second surgical site Osteoconductive Used for volumetric enhancement, space maintenance, and faster remodeling Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","{""skus"": ""3257154"", ""brand"": ""DentalProX"", ""category"": ""Sutures & Surgical Products""}","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]","[""https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257157"", ""https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder#3257158""]",algolia+tavily_llm,2026-04-24T04:33:58.996589
